47|Tuition Reimbursement for Instructional Aides or Assistants|252|||47.00||
48|Tuition Reimbursement for Substitute Teachers|253|||48.00||
49|Unemployment Compensation|260|||49.00||
50|Unemployment Compensation Paid for Teachers|261|||50.00||
51|Unemployment Compensation Paid for Instructional Aides or Assistants|262|||51.00||
52|Unemployment Compensation Paid for Substitute Teachers|263|||52.00||
53|Workers' Compensation|270|||53.00||
54|Worker's Compensation Paid for Teachers|271|||54.00||
55|Worker's Compensation Paid for Instructional Aides or Assistants|272|||55.00||
56|Worker's Compensation for Substitute Teachers|273|||56.00||
57|Health Benefits|280|||57.00||
58|Health Benefits Paid for Teachers|281|||58.00||
59|Health Benefits Paid for Instructional Aides or Assistants|282|||59.00||
60|Health Benefits Paid for Substitute Teachers|283|||60.00||
61|Other Employee Benefits|290|||61.00||
62|Other Employee Benefits Paid for Teachers|291|||62.00||
63|Other Employee Benefits Paid for Instructional Aides or Assistants|292|||63.00||
64|Other Employee Benefits for Substitute Teachers|293|||64.00||
65|Purchased Professional and Technical Services|300|||65.00||
66|Official/Administrative Services|310|||66.00||
67|Professional Educational Services|320|||67.00||
68|Employee Training and Development Services|330|||68.00||
69|Other Professional Services|340|||69.00||
70|Technical Services|350|||70.00||
71|Data-Processing and Coding Services|351|||71.00||
72|Other Technical Services|352|||72.00||
73|Purchased Property Services|400|||73.00||
74|Utility Services|410|||74.00||
75|Cleaning Services|420|||75.00||
76|Repairs and Maintenance Services|430|||76.00||
77|Non-Technology-Related Repairs and Maintenance|431|||77.00||
78|Technology-Related Repairs and Maintenance|432|||78.00||
79|Rentals|440|||79.00||
80|Rentals of Land and Buildings|441|||80.00||
81|Rentals of Equipment and Vehicles|442|||81.00||
82|Rentals of Computers and Related Equipment|443|||82.00||
83|Construction Services|450|||83.00||
84|Other Purchased Property Services|490|||84.00||
85|Other Purchased Services|500|||85.00||
86|Student Transportation Services|510|||86.00||
87|Student Transportation Purchased From Another School District Within the State|511|||87.00||
88|Student Transportation Purchased From Another School District Outside the State|512|||88.00||
89|Student Transportation Purchased From Other Sources|519|||89.00||
90|Insurance (Other Than Employee Benefits)|520|||90.00||
91|Communications|530|||91.00||
92|Advertising|540|||92.00||
93|Printing and Binding|550|||93.00||
94|Tuition|560|||94.00||
95|Tuition to Other School Districts (Excluding Charter Schools) Within the State|561|||95.00||
96|Tuition to Other School Districts (Including Charter Schools) Outside the State|562|||96.00||
97|Tuition to Private Schools|563|||97.00||
98|Tuition to Charter Schools Within the State|564|||98.00||
99|Tuition to Postsecondary Schools|565|||99.00||
100|Voucher Payments to Private Schools and to Other School Districts Outside the State|566|||100.00||
101|Voucher Payments to School Districts, including Charter Schools, Within the State|567|||101.00||
102|Voucher Payments Directly to Individuals|568|||102.00||
103|Tuition-Other|569|||103.00||
104|Food Service Management|570|||104.00||
105|Travel|580|||105.00||
106|Interagency Purchased Services|590|||106.00||
107|Services Purchased From Another School District or Educational Services Agency Within the State|591|||107.00||
108|Services Purchased From Another School District or Educational Services Agency Outside the State|592|||108.00||
109|Supplies|600|||109.00||
110|General Supplies|610|||110.00||
111|Energy|620|||111.00||
112|Natural Gas|621|||112.00||
113|Electricity|622|||113.00||
114|Bottled Gas|623|||114.00||
115|Oil|624|||115.00||
116|Coal|625|||116.00||
117|Gasoline|626|||117.00||
118|Other|629|||118.00||
119|Food|630|||119.00||
120|Books and Periodicals|640|||120.00||
121|Supplies-Technology Related|650|||121.00||
122|Property|700|||122.00||
123|Land and Land Improvements|710|||123.00||
124|Buildings|720|||124.00||
125|Equipment|730|||125.00||
126|Machinery|731|||126.00||
127|Vehicles|732|||127.00||
128|Furniture and Fixtures|733|||128.00||
129|Technology-Related Hardware|734|||129.00||
130|Technology Software|735|||130.00||
131|Other Equipment|739|||131.00||
132|Infrastructure|740|||132.00||
133|Intangible Assets|750|||133.00||
134|Depreciation and Amortization|790|||134.00||
135|Debt Service and Miscellaneous|800|||135.00||
136|Dues and Fees|810|||136.00||
137|Judgments Against the School District|820|||137.00||
138|Debt-Related Expenditures/Expenses|830|||138.00||
139|Redemption of Principal|831|||139.00||
140|Interest on Long-Term Debt|832|||140.00||
141|Bond Issuance and Other Debt-Related Costs|833|||141.00||
142|Amortization of Premium and Discount on Issuance of Bonds|834|||142.00||
143|Interest on Short-Term Debt|835|||143.00||
144|Miscellaneous Expenditures|890|||144.00||
145|Other Items|900|||145.00||
146|Fund Transfers Out|910|||146.00||
147|Payments to Escrow Agents for Defeasance of Debt|920|||147.00||
148|Discount on the Issuance of Bonds|925|||148.00||
149|Net Decreases in the Fair Value of Investments|930|||149.00||
150|Realized Losses on Investments|931|||150.00||
151|Unrealized Losses on Investments|932|||151.00||
152|Losses on the Sale of Capital Assets|940|||152.00||
153|Special Items|950|||153.00||
154|Extraordinary Items|960|||154.00||
